name,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Year,value
"Hyderabad, TS, India",2014-01-01,80.3,59.1,68.6,80.4,59.1,68.6,55.1,64.9,0.0,0,0.0,,0,0,21.7,11.1,111.3,1018.3,20.8,2.8,203.9,17.8,7,,2014-01-01T06:46:20,2014-01-01T17:52:51,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43128599999,remote,43128099999",2014,30.0
"Hyderabad, TS, India",2014-01-02,83.9,55.5,67.6,82.2,55.5,67.5,52.1,60.7,0.0,0,0.0,,0,0,16.8,9.2,119.8,1018.7,2.7,3.0,211.1,18.3,7,,2014-01-02T06:46:41,2014-01-02T17:53:27,0.03,Clear,Clear conditions throughout the day.,clear-day,"43128599999,43128099999,remote",2014,30.0
"Hyderabad, TS, India",2014-01-03,84.1,55.5,68.1,82.4,55.5,67.8,51.6,59.1,0.0,0,0.0,,0,0,16.8,9.2,103.7,1018.3,1.9,2.7,218.9,19.0,8,,2014-01-03T06:47:00,2014-01-03T17:54:03,0.06,Clear,Clear conditions throughout the day.,clear-day,"43128599999,43128099999,remote",2014,30.0
"Hyderabad, TS, India",2014-01-04,83.9,53.7,68.8,83.1,53.7,68.7,54.5,62.9,0.0,0,0.0,,0,0,19.0,10.3,118.4,1017.0,8.1,2.5,213.3,18.4,8,,2014-01-04T06:47:19,2014-01-04T17:54:39,0.1,Clear,Clear conditions throughout the day.,clear-day,"43128599999,43128099999,remote",2014,30.0
"Hyderabad, TS, India",2014-01-05,90.9,59.3,71.6,88.5,59.3,71.0,54.3,59.5,0.0,0,0.0,,0,0,18.6,8.3,147.4,1014.8,12.6,2.8,220.9,19.1,8,,2014-01-05T06:47:37,2014-01-05T17:55:16,0.13,Clear,Clear conditions throughout the day.,clear-day,"43128599999,43128099999,remote",2014,30.0
"Hyderabad, TS, India",2014-01-06,89.3,60.9,72.6,86.7,60.9,72.1,54.2,57.4,0.0,0,0.0,,0,0,14.5,8.9,119.6,1014.8,2.1,2.9,219.3,19.0,8,,2014-01-06T06:47:53,2014-01-06T17:55:53,0.16,Clear,Clear conditions throughout the day.,clear-day,"43128599999,remote,43128099999",2014,30.0
"Hyderabad, TS, India",2014-01-07,85.7,60.9,71.8,83.4,60.9,71.4,54.9,59.6,0.0,0,0.0,,0,0,20.1,9.1,110.3,1016.1,9.6,3.1,211.3,18.3,8,,2014-01-07T06:48:09,2014-01-07T17:56:30,0.2,Clear,Clear conditions throughout the day.,clear-day,"43128599999,remote,43128099999",2014,30.0
"Hyderabad, TS, India",2014-01-08,84.1,57.3,70.0,82.4,57.3,69.7,54.0,60.8,0.0,0,0.0,,0,0,20.4,10.3,118.4,1017.5,1.9,3.0,223.5,19.2,8,,2014-01-08T06:48:23,2014-01-08T17:57:07,0.25,Clear,Clear conditions throughout the day.,clear-day,"43128599999,remote,43128099999",2014,30.0
"Hyderabad, TS, India",2014-01-09,87.5,57.3,71.0,85.1,57.3,70.7,55.5,62.3,0.0,0,0.0,,0,0,16.8,8.8,128.5,1016.7,13.4,3.0,219.9,19.1,8,,2014-01-09T06:48:36,2014-01-09T17:57:44,0.26,Clear,Clear conditions throughout the day.,clear-day,"43128599999,remote,43128099999",2014,30.0
"Hyderabad, TS, India",2014-01-10,86.1,59.1,71.2,84.8,59.1,71.1,56.5,62.6,0.0,0,0.0,,0,0,20.6,8.1,128.8,1015.9,19.6,3.0,213.3,18.5,8,,2014-01-10T06:48:49,2014-01-10T17:58:22,0.3,Clear,Clear conditions throughout the day.,clear-day,"43128599999,remote,43128099999",2014,30.0
"Hyderabad, TS, India",2014-01-11,86.1,62.7,72.3,84.0,62.7,71.9,57.8,64.4,0.0,0,0.0,,0,0,23.5,11.6,144.4,1016.3,46.2,2.7,147.2,12.6,7,,2014-01-11T06:49:00,2014-01-11T17:58:59,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43128599999,remote,43128099999",2014,30.0
"Hyderabad, TS, India",2014-01-12,87.7,60.9,73.1,85.0,60.9,72.4,54.8,57.9,0.0,0,0.0,,0,0,18.8,9.2,113.7,1017.7,26.5,3.3,209.5,18.2,8,,2014-01-12T06:49:09,2014-01-12T17:59:36,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43128599999,remote,43128099999",2014,30.0
"Hyderabad, TS, India",2014-01-13,84.1,57.3,71.0,82.8,57.3,70.8,54.1,58.2,0.0,0,0.0,,0,0,21.9,12.8,110.3,1018.3,9.3,2.9,219.6,19.0,8,,2014-01-13T06:49:18,2014-01-13T18:00:14,0.4,Clear,Clear conditions throughout the day.,clear-day,"43128599999,43128099999,remote",2014,30.0
"Hyderabad, TS, India",2014-01-14,84.3,60.9,70.5,82.2,60.9,70.2,53.6,59.0,0.0,0,0.0,,0,0,18.6,9.1,111.3,1017.3,25.1,3.1,196.6,16.9,8,,2014-01-14T06:49:26,2014-01-14T18:00:51,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43128599999,43128099999,remote",2014,30.0
"Hyderabad, TS, India",2014-01-15,89.1,55.5,71.7,86.2,55.5,71.0,52.2,55.0,0.0,0,0.0,,0,0,19.9,10.1,126.5,1017.4,31.3,3.2,204.3,17.8,8,,2014-01-15T06:49:32,2014-01-15T18:01:28,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43128599999,remote,43128099999",2014,30.0
